STRID_TIP_WND_BTN_CLOSE,STRID_PUBLIC_TIP_WND_BTN_CLOSE
STRID_TIP_WND_BTN_MIN,STRID_PUBLIC_TIP_WND_BTN_MIN
STRID_TIP_WND_BTN_MAX,STRID_PUBLIC_TIP_WND_BTN_MAX
STRID_TIP_WND_BTN_RESTORE,STRID_PUBLIC_TIP_WND_BTN_RESTORE
STRID_TIP_WND_BTN_FULLSCREEN,STRID_PUBLIC_TIP_WND_BTN_FULLSCREEN
STRID_TIP_BTN_PAGE_FULLSCREEN,STRID_PUBLIC_TIP_BTN_PAGE_FULLSCREEN
STRID_TIP_BTN_LANGUAGE,STRID_PUBLIC_TIP_BTN_LANGUAGE
STRID_TIP_BTN_THEME,STRID_PUBLIC_TIP_BTN_THEME
STRID_TIP_BTN_SETTINGS,STRID_PUBLIC_TIP_BTN_SETTINGS
STRID_MENU_TEXT_SELECT_LANGUAGE,STRID_PUBLIC_MENU_TEXT_SELECT_LANGUAGE
STRID_MENU_TEXT_SELECT_THEME,STRID_PUBLIC_MENU_TEXT_SELECT_THEME
STRID_EXIT_FULLSCREEN,STRID_PUBLIC_EXIT_FULLSCREEN
TIPID_EXIT_FULLSCREEN,STRID_PUBLIC_EXIT_FULLSCREEN
STRID_PROPERTY_NAME,STRID_PUBLIC_PROPERTY_NAME
STRID_PROPERTY_VALUE,STRID_PUBLIC_PROPERTY_VALUE
STRID_PROPERTY_MORE_COLOR,STRID_PUBLIC_PROPERTY_MORE_COLOR
STRID_STRING_OK,STRID_PUBLIC_STRING_OK
STRID_STRING_CANCEL,STRID_PUBLIC_STRING_CANCEL
STRID_STRING_CHOOSE,STRID_PUBLIC_STRING_CHOOSE
STRID_COLORPICKER_CHOOSE_COLOR,STRID_PUBLIC_COLORPICKER_CHOOSE_COLOR
STRID_COLORPICKER_COMMON,STRID_PUBLIC_COLORPICKER_COMMON
STRID_PUBLIC_TIP_COLORPICKER_TRANSPARENCY,STRID_PUBLIC_COLORPICKER_TRANSPARENCY
